generated_smiles,pyg_data
Brc1cncc(-c2ccc3[nH]c(-c4ccc5[nH]c([C@H]6CCCCO6)cc5c4)cc3c2)c1,"Data(x=[31, 3], edge_index=[2, 72])"
Brc1cncc(-c2ccc3[nH]c(-c4cncc(Br)c4)cc3c2)c1,"Data(x=[23, 3], edge_index=[2, 52])"
Brc1cncc(-c2ccc3[nH]c([C@@H]4CCCCO4)cc3c2)c1,"Data(x=[22, 3], edge_index=[2, 50])"
Brc1cncc(-c2ccc3[nH]c([C@H]4CCCCO4)cc3c2)c1,"Data(x=[22, 3], edge_index=[2, 50])"
Brc1cncc(-c2cccc(-c3cccc(-c4cncc(Br)c4)c3)c2)c1,"Data(x=[26, 3], edge_index=[2, 58])"
Brc1cncc(-c2cccc(-c3cncc(Br)c3)c2)c1,"Data(x=[20, 3], edge_index=[2, 44])"
Brc1cncc(-c2ccccc2-c2ccccc2-c2cncc(Br)c2)c1,"Data(x=[26, 3], edge_index=[2, 58])"
Brc1cncc(-c2ccccc2-c2cncc(Br)c2)c1,"Data(x=[20, 3], edge_index=[2, 44])"
Brc1cncc(-c2cn(-c3cn(-c4cncc(Br)c4)nn3)nn2)c1,"Data(x=[24, 3], edge_index=[2, 54])"
Brc1cncc(-c2cn(-c3cncc(Br)c3)nn2)c1,"Data(x=[19, 3], edge_index=[2, 42])"
Brc1cncc(-c2csc(-c3cncc(Br)c3)n2)c1,"Data(x=[19, 3], edge_index=[2, 42])"
Brc1cncc(-c2csc(-c3csc(-c4cncc(Br)c4)n3)n2)c1,"Data(x=[24, 3], edge_index=[2, 54])"
Brc1cncc(-c2csc(-c3nc(-c4cncc(Br)c4)cs3)n2)c1,"Data(x=[24, 3], edge_index=[2, 54])"
Brc1cncc(-c2n[nH]c(-c3cncc(Br)c3)n2)c1,"Data(x=[19, 3], edge_index=[2, 42])"
Brc1cncc(-c2n[nH]c(-c3n[nH]c(-c4cncc(Br)c4)n3)n2)c1,"Data(x=[24, 3], edge_index=[2, 54])"
Brc1cncc(-c2n[nH]c(-c3nc(-c4cncc(Br)c4)n[nH]3)n2)c1,"Data(x=[24, 3], edge_index=[2, 54])"
Brc1cncc(-c2nc(-c3csc(-c4cncc(Br)c4)n3)cs2)c1,"Data(x=[24, 3], edge_index=[2, 54])"
Brc1cncc(-c2nc(-c3n[nH]c(-c4cncc(Br)c4)n3)n[nH]2)c1,"Data(x=[24, 3], edge_index=[2, 54])"
Brc1cncc(-c2nnn(-c3cncc(Br)c3)n2)c1,"Data(x=[19, 3], edge_index=[2, 42])"
Brc1cncc(-c2nnn(-c3nnn(-c4cncc(Br)c4)n3)n2)c1,"Data(x=[24, 3], edge_index=[2, 54])"
Brc1cncc(-n2cc(-c3cn(-c4cncc(Br)c4)nn3)nn2)c1,"Data(x=[24, 3], edge_index=[2, 54])"
Brc1cncc(-n2nnc(-c3nnn(-c4cncc(Br)c4)n3)n2)c1,"Data(x=[24, 3], edge_index=[2, 54])"
Brc1cncc(C2(N3c4ccccc4CCc4ccccc43)N=N2)c1,"Data(x=[25, 3], edge_index=[2, 58])"
Brc1cncc(C2(c3c4ccccc4cc4ccccc34)N=N2)c1,"Data(x=[24, 3], edge_index=[2, 56])"
Brc1cncc(C2(c3ccc4c(c3)Cc3ccccc3-4)N=N2)c1,"Data(x=[23, 3], edge_index=[2, 54])"
Brc1cncc(C2(c3cncc(Br)c3)N=N2)c1,"Data(x=[17, 3], edge_index=[2, 38])"
Brc1cncc(C2(c3nnc4c(n3)[nH]c3ccccc34)N=N2)c1,"Data(x=[23, 3], edge_index=[2, 54])"
Brc1cncc(C2CCN(C3CCN(c4cncc(Br)c4)CC3)CC2)c1,"Data(x=[26, 3], edge_index=[2, 58])"
Brc1cncc(C2CCN(c3cncc(Br)c3)CC2)c1,"Data(x=[20, 3], edge_index=[2, 44])"
Brc1cncc(N2CCN(c3cncc(Br)c3)CC2)c1,"Data(x=[20, 3], edge_index=[2, 44])"
Brc1cncc(N2c3ccccc3CCc3ccccc32)c1,"Data(x=[22, 3], edge_index=[2, 50])"
Brc1cncc(SSC23CC4CC(CC(C4)C2)C3)c1,"Data(x=[19, 3], edge_index=[2, 44])"
Brc1cncc(SSc2c3ccccc3cc3ccccc23)c1,"Data(x=[23, 3], edge_index=[2, 52])"
Brc1cncc(SSc2ccc3c(c2)Cc2ccccc2-3)c1,"Data(x=[22, 3], edge_index=[2, 50])"
Brc1cncc(SSc2ccc3ncsc3c2)c1,"Data(x=[18, 3], edge_index=[2, 40])"
Brc1cncc(SSc2cncc(Br)c2)c1,"Data(x=[16, 3], edge_index=[2, 34])"
Brc1cncc(SSc2nnc3c(n2)[nH]c2ccccc23)c1,"Data(x=[22, 3], edge_index=[2, 50])"
Brc1cncc(Sc2c3ccccc3cc3ccccc23)c1,"Data(x=[22, 3], edge_index=[2, 50])"
Brc1cncc(Sc2ccc3c(c2)Cc2ccccc2-3)c1,"Data(x=[21, 3], edge_index=[2, 48])"
Brc1cncc(Sc2nnc3c(n2)[nH]c2ccccc23)c1,"Data(x=[21, 3], edge_index=[2, 48])"
Brc1cncc([C@@H]2C=C[C@H](c3cncc(Br)c3)C2)c1,"Data(x=[19, 3], edge_index=[2, 42])"
Brc1cncc([C@H]2CC[C@@H](c3cncc(Br)c3)CC2)c1,"Data(x=[20, 3], edge_index=[2, 44])"
Brc1cncc([C@H]2CC[C@H](c3cncc(Br)c3)CC2)c1,"Data(x=[20, 3], edge_index=[2, 44])"
C#CCN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,"Data(x=[27, 3], edge_index=[2, 62])"
C#CCSS[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](N)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[29, 3], edge_index=[2, 64])"
C#CCSS[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)Cc5nccnc5[C@@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,"Data(x=[39, 3], edge_index=[2, 88])"
C#CCS[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](N)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[28, 3], edge_index=[2, 62])"
C#CCS[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)Cc5nccnc5[C@@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,"Data(x=[38, 3], edge_index=[2, 86])"
C1=C[C@H](N2c3ccccc3CCc3ccccc32)C[C@@H]1N1c2ccccc2CCc2ccccc21,"Data(x=[35, 3], edge_index=[2, 82])"
C1=C[C@H](c2c3ccccc3cc3ccccc23)C[C@@H]1c1c2ccccc2cc2ccccc12,"Data(x=[33, 3], edge_index=[2, 78])"
C1=C[C@H](c2ccc3c(c2)Cc2ccccc2-3)C[C@@H]1c1ccc2c(c1)Cc1ccccc1-2,"Data(x=[31, 3], edge_index=[2, 74])"
C1=C[C@H](c2nnc3c(n2)[nH]c2ccccc23)C[C@@H]1c1nnc2c(n1)[nH]c1ccccc12,"Data(x=[31, 3], edge_index=[2, 74])"
C1C2CC3CC1CC(N1CCN(C45CC6CC(CC(C6)C4)C5)CC1)(C2)C3,"Data(x=[26, 3], edge_index=[2, 64])"
C1C2CC3CC1CC(c1n[nH]c(-c4n[nH]c(C56CC7CC(CC(C7)C5)C6)n4)n1)(C2)C3,"Data(x=[30, 3], edge_index=[2, 74])"
C1C2CC3CC1CC(c1n[nH]c(-c4nc(C56CC7CC(CC(C7)C5)C6)n[nH]4)n1)(C2)C3,"Data(x=[30, 3], edge_index=[2, 74])"
C1C2CC3CC1CC(c1nc(-c4n[nH]c(C56CC7CC(CC(C7)C5)C6)n4)n[nH]1)(C2)C3,"Data(x=[30, 3], edge_index=[2, 74])"
C1C2CC3CC1CC(c1nnn(-c4nnn(C56CC7CC(CC(C7)C5)C6)n4)n1)(C2)C3,"Data(x=[30, 3], edge_index=[2, 74])"
C1C2CC3CC1CC(n1nnc(-c4nnn(C56CC7CC(CC(C7)C5)C6)n4)n1)(C2)C3,"Data(x=[30, 3], edge_index=[2, 74])"
C1C[C@@H]2[C@H](O1)OC[C@@H]2c1n[nH]c(-c2n[nH]c([C@H]3CO[C@H]4OCC[C@H]43)n2)n1,"Data(x=[26, 3], edge_index=[2, 62])"
C1C[C@@H]2[C@H](O1)OC[C@@H]2c1n[nH]c(-c2nc([C@H]3CO[C@H]4OCC[C@H]43)n[nH]2)n1,"Data(x=[26, 3], edge_index=[2, 62])"
C1C[C@@H]2[C@H](O1)OC[C@@H]2c1nc(-c2n[nH]c([C@H]3CO[C@H]4OCC[C@H]43)n2)n[nH]1,"Data(x=[26, 3], edge_index=[2, 62])"
C1C[C@@H]2[C@H](O1)OC[C@@H]2c1nnn(-c2nnn([C@H]3CO[C@H]4OCC[C@H]43)n2)n1,"Data(x=[26, 3], edge_index=[2, 62])"
C1C[C@@H]2[C@H](O1)OC[C@@H]2n1nnc(-c2nnn([C@H]3CO[C@H]4OCC[C@H]43)n2)n1,"Data(x=[26, 3], edge_index=[2, 62])"
C=CCN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,"Data(x=[27, 3], edge_index=[2, 62])"
C=CCSS[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](N)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[29, 3], edge_index=[2, 64])"
C=CCSS[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)Cc5nccnc5[C@@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,"Data(x=[39, 3], edge_index=[2, 88])"
C=CCS[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](N)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[28, 3], edge_index=[2, 62])"
C=CCS[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)Cc5nccnc5[C@@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,"Data(x=[38, 3], edge_index=[2, 86])"
CC(=O)C1(N2CCN([C@@H]3c4ccccc4[C@@H]4[C@H](c5ccccc53)C4(F)F)CC2)N=N1,"Data(x=[30, 3], edge_index=[2, 70])"
CC(=O)C1([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](N)C(C)(C)[C@@H]4CC[C@]23C)N=N1,"Data(x=[30, 3], edge_index=[2, 68])"
CC(=O)C1([C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)Cc6nccnc6[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)N=N1,"Data(x=[40, 3], edge_index=[2, 92])"
CC(=O)N(C)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](N)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[29, 3], edge_index=[2, 64])"
CC(=O)N(C)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)Cc5nccnc5[C@@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,"Data(x=[39, 3], edge_index=[2, 88])"
CC(=O)N1CCC(N2CCC(N3CCN([C@@H]4c5ccccc5[C@@H]5[C@H](c6ccccc64)C5(F)F)CC3)CC2)CC1,"Data(x=[39, 3], edge_index=[2, 90])"
CC(=O)N1CCC(N2CCN([C@@H]3c4ccccc4[C@@H]4[C@H](c5ccccc53)C4(F)F)CC2)CC1,"Data(x=[33, 3], edge_index=[2, 76])"
CC(=O)N1CCC(O)(N2CCC(O)(N3CCN([C@@H]4c5ccccc5[C@@H]5[C@H](c6ccccc64)C5(F)F)CC3)CC2)CC1,"Data(x=[41, 3], edge_index=[2, 94])"
CC(=O)N1CCC(O)(N2CCC(O)(c3cc(=O)c4cc(Br)ccc4o3)CC2)CC1,"Data(x=[29, 3], edge_index=[2, 64])"
CC(=O)N1CCC(O)(N2CCC(O)(n3c4ccccc4c(=O)c4cc(C)cc(C)c43)CC2)CC1,"Data(x=[34, 3], edge_index=[2, 76])"
CC(=O)N1CCC(O)(N2CCN([C@@H]3c4ccccc4[C@@H]4[C@H](c5ccccc53)C4(F)F)CC2)CC1,"Data(x=[34, 3], edge_index=[2, 78])"
CC(=O)N1CCC(O)(c2cc(=O)c3cc(Br)ccc3o2)CC1,"Data(x=[22, 3], edge_index=[2, 48])"
CC(=O)N1CCC(O)(n2c3ccccc3c(=O)c3cc(C)cc(C)c32)CC1,"Data(x=[27, 3], edge_index=[2, 60])"
CC(=O)N1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,"Data(x=[27, 3], edge_index=[2, 62])"
CC(=O)N1CCN([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](N)C(C)(C)[C@@H]4CC[C@]23C)CC1,"Data(x=[33, 3], edge_index=[2, 74])"
CC(=O)N1CCN([C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)Cc6nccnc6[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)CC1,"Data(x=[43, 3], edge_index=[2, 98])"
CC(=O)N1CCN(c2cc(=O)c3cc(Br)ccc3o2)CC1,"Data(x=[21, 3], edge_index=[2, 46])"
CC(=O)N[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](N)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[28, 3], edge_index=[2, 62])"
CC(=O)N[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)Cc5nccnc5[C@@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,"Data(x=[38, 3], edge_index=[2, 86])"
CC(=O)O[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](N)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[28, 3], edge_index=[2, 62])"
CC(=O)O[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)Cc5nccnc5[C@@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,"Data(x=[38, 3], edge_index=[2, 86])"
CC(=O)[C@@H]1C[C@H]2O[C@@](C)([C@@H]1C1(C(C)=O)N=N1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[40, 3], edge_index=[2, 96])"
CC(=O)[C@@H]1C[C@H]2O[C@@](C)([C@@H]1[C@@H]1CCCCO1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[40, 3], edge_index=[2, 96])"
CC(=O)[C@@H]1C[C@H]2O[C@@](C)([C@@H]1[C@H]1CCCCO1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[40, 3], edge_index=[2, 96])"
CC(=O)[C@@H]1[C@H](C(C)=O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[37, 3], edge_index=[2, 88])"
CC(=O)[C@@H]1[C@H](C2(C(C)=O)N=N2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[40, 3], edge_index=[2, 96])"
CC(=O)[C@@H]1[C@H]([C@@H]2CCCCO2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[40, 3], edge_index=[2, 96])"
CC(=O)[C@@H]1[C@H]([C@H]2CCCCO2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[40, 3], edge_index=[2, 96])"
CC(=O)[C@H]1CC[C@@](C)(c2cc(=O)c3cc(Br)ccc3o2)O1,"Data(x=[21, 3], edge_index=[2, 46])"
CC(=O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](C(C)=O)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[29, 3], edge_index=[2, 64])"
CC(=O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](C4(C(C)=O)N=N4)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[32, 3], edge_index=[2, 72])"
CC(=O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](N)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[27, 3], edge_index=[2, 60])"
CC(=O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H]([C@@H]4CCCCO4)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[32, 3], edge_index=[2, 72])"
CC(=O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H]([C@H]4CCCCO4)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[32, 3], edge_index=[2, 72])"
CC(=O)[C@H]1CC[C@]2(C)[C@H]3C[C@@H](O)[C@@H]4[C@@H](C5(C(C)=O)N=N5)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,"Data(x=[32, 3], edge_index=[2, 72])"
CC(=O)[C@H]1CC[C@]2(C)[C@H]3C[C@@H](O)[C@@H]4[C@@H]([C@@H]5CCCCO5)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,"Data(x=[32, 3], edge_index=[2, 72])"
CC(=O)[C@H]1CC[C@]2(C)[C@H]3C[C@@H](O)[C@@H]4[C@@H]([C@H]5CCCCO5)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,"Data(x=[32, 3], edge_index=[2, 72])"
CC(=O)[C@]1(C)CC[C@H](c2cc(=O)c3cc(Br)ccc3o2)O1,"Data(x=[21, 3], edge_index=[2, 46])"
CC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)Cc5nccnc5[C@@](C)(CO)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,"Data(x=[37, 3], edge_index=[2, 84])"
CC(=O)c1cc(=O)c2c(-c3cc(=O)c4c(C(C)=O)cccc4o3)cccc2o1,"Data(x=[28, 3], edge_index=[2, 62])"
CC(=O)c1cc(=O)c2c(-c3cccc4oc(C(C)=O)cc(=O)c34)cccc2o1,"Data(x=[28, 3], edge_index=[2, 62])"
CC(=O)c1cc(=O)n2nc(-c3nc4[nH]c(C(C)=O)cc(=O)n4n3)nc2[nH]1,"Data(x=[26, 3], edge_index=[2, 58])"
CC(=O)c1cc(C)nc2nc(-c3nc4nc(C)cc(C(C)=O)n4n3)nn12,"Data(x=[26, 3], edge_index=[2, 58])"
CC(=O)c1cccc2c(=O)c3cccc(-c4cccc5c(=O)c6cccc(C(C)=O)c6[nH]c45)c3[nH]c12,"Data(x=[36, 3], edge_index=[2, 82])"
CC(=O)c1cccc2oc(-c3cc(=O)c4c(C(C)=O)cccc4o3)cc(=O)c12,"Data(x=[28, 3], edge_index=[2, 62])"
CC(=O)c1coc2c(c(O)cc3occ(-c4coc5c(c(O)cc6occ(C(C)=O)c(=O)c65)c4=O)c(=O)c32)c1=O,"Data(x=[40, 3], edge_index=[2, 90])"
CC(=O)c1coc2c(c(O)cc3occ(-c4coc5c(c(O)cc6occ([C@@H]7CCCCO7)c(=O)c65)c4=O)c(=O)c32)c1=O,"Data(x=[43, 3], edge_index=[2, 98])"
CC(=O)c1coc2c(c(O)cc3occ(-c4coc5c(c(O)cc6occ([C@H]7CCCCO7)c(=O)c65)c4=O)c(=O)c32)c1=O,"Data(x=[43, 3], edge_index=[2, 98])"
CC(=O)c1coc2c(c(O)cc3occ(-c4coc5cc(O)c6c(=O)c(C(C)=O)coc6c5c4=O)c(=O)c32)c1=O,"Data(x=[40, 3], edge_index=[2, 90])"
CC(=O)c1coc2c(c(O)cc3occ(-c4coc5cc(O)c6c(=O)c([C@@H]7CCCCO7)coc6c5c4=O)c(=O)c32)c1=O,"Data(x=[43, 3], edge_index=[2, 98])"
CC(=O)c1coc2c(c(O)cc3occ(-c4coc5cc(O)c6c(=O)c([C@H]7CCCCO7)coc6c5c4=O)c(=O)c32)c1=O,"Data(x=[43, 3], edge_index=[2, 98])"
CC(=O)c1coc2c(c(O)cc3occ([C@@H]4CCCCO4)c(=O)c32)c1=O,"Data(x=[26, 3], edge_index=[2, 58])"
CC(=O)c1coc2c(c(O)cc3occ([C@H]4CCCCO4)c(=O)c32)c1=O,"Data(x=[26, 3], edge_index=[2, 58])"
CC(=O)c1coc2cc(O)c3c(=O)c(-c4coc5c(c(O)cc6occ(C(C)=O)c(=O)c65)c4=O)coc3c2c1=O,"Data(x=[40, 3], edge_index=[2, 90])"
CC(=O)c1coc2cc(O)c3c(=O)c(-c4coc5c(c(O)cc6occ([C@@H]7CCCCO7)c(=O)c65)c4=O)coc3c2c1=O,"Data(x=[43, 3], edge_index=[2, 98])"
CC(=O)c1coc2cc(O)c3c(=O)c(-c4coc5c(c(O)cc6occ([C@H]7CCCCO7)c(=O)c65)c4=O)coc3c2c1=O,"Data(x=[43, 3], edge_index=[2, 98])"
CC(=O)c1coc2cc(O)c3c(=O)c(-c4coc5cc(O)c6c(=O)c([C@@H]7CCCCO7)coc6c5c4=O)coc3c2c1=O,"Data(x=[43, 3], edge_index=[2, 98])"
CC(=O)c1coc2cc(O)c3c(=O)c(-c4coc5cc(O)c6c(=O)c([C@H]7CCCCO7)coc6c5c4=O)coc3c2c1=O,"Data(x=[43, 3], edge_index=[2, 98])"
CC(=O)c1coc2cc(O)c3c(=O)c([C@@H]4CCCCO4)coc3c2c1=O,"Data(x=[26, 3], edge_index=[2, 58])"
CC(=O)c1coc2cc(O)c3c(=O)c([C@H]4CCCCO4)coc3c2c1=O,"Data(x=[26, 3], edge_index=[2, 58])"
CC(=O)c1nc2[nH]c(-c3cc(=O)n4nc(C(C)=O)nc4[nH]3)cc(=O)n2n1,"Data(x=[26, 3], edge_index=[2, 58])"
CC(=O)c1nc2[nH]c(-c3nc4[nH]c(C(C)=O)cc(=O)n4n3)cc(=O)n2n1,"Data(x=[26, 3], edge_index=[2, 58])"
CC(=O)c1nc2nc(C)cc(-c3cc(C)nc4nc(C(C)=O)nn34)n2n1,"Data(x=[26, 3], edge_index=[2, 58])"
CC(=O)c1nc2nc(C)cc(-c3nc4nc(C)cc(C(C)=O)n4n3)n2n1,"Data(x=[26, 3], edge_index=[2, 58])"
CC(C)(C)N1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,"Data(x=[28, 3], edge_index=[2, 64])"
CC(C)(C)SS[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](N)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[30, 3], edge_index=[2, 66])"
CC(C)(C)S[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](N)C(C)(C)[C@@H]3CC[C@]12C,"Data(x=[29, 3], edge_index=[2, 64])"
CC(C)(O)C1(N2CCN([C@@H]3c4ccccc4[C@@H]4[C@H](c5ccccc53)C4(F)F)CC2)N=N1,"Data(x=[31, 3], edge_index=[2, 72])"
CC(C)(O)C1(O)CCN(C(=O)C2c3ccccc3-c3ccccc32)CC1,"Data(x=[26, 3], edge_index=[2, 58])"
CC(C)(O)C1(O)CCN(C2(O)CCN(C(=O)C3c4ccccc4-c4ccccc43)CC2)CC1,"Data(x=[33, 3], edge_index=[2, 74])"
CC(C)(O)[C@@H]1C[C@H]2O[C@@](C)([C@@H]1C(C)(C)O)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[39, 3], edge_index=[2, 92])"
CC(C)(O)[C@@H]1C[C@H]2O[C@@](C)([C@@H]1C1(C(C)(C)O)N=N1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[42, 3], edge_index=[2, 100])"
CC(C)(O)[C@@H]1C[C@H]2O[C@@](C)([C@@H]1[C@@H]1CCCCO1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[41, 3], edge_index=[2, 98])"
CC(C)(O)[C@@H]1C[C@H]2O[C@@](C)([C@@H]1[C@H]1CCCCO1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[41, 3], edge_index=[2, 98])"
CC(C)(O)[C@@H]1[C@H](C2(C(C)(C)O)N=N2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[42, 3], edge_index=[2, 100])"
CC(C)(O)[C@@H]1[C@H]([C@@H]2CCCCO2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Data(x=[41, 3], edge_index=[2, 98])"
